SM_TikTokURL,T_Partei
https://www.tiktok.com/@hamburgpolitik,SPD
https://www.tiktok.com/@j.renner1,SPD
https://www.tiktok.com/@jonas.weber.spd,SPD
https://www.tiktok.com/@thoregueldner,SPD
https://www.tiktok.com/@katrinsteinhuelbjoos,SPD
https://www.tiktok.com/@christianhochgrebe,SPD
https://www.tiktok.com/@wiebken,SPD
https://www.tiktok.com/@carolaveit,SPD
https://www.tiktok.com/@janhennerputzier?lang=de-DE,SPD
https://www.tiktok.com/@serpilmidyatli,SPD
https://www.tiktok.com/@astrid.hennies,SPD
https://www.tiktok.com/@alpkirci,SPD
https://www.tiktok.com/@corinna_lange,SPD
https://www.tiktok.com/@kianuschstender,SPD
https://www.tiktok.com/@serdar.yueksel,SPD
https://www.tiktok.com/@ulrich.commercon,SPD
https://www.tiktok.com/@mathias_schulz,SPD
https://www.tiktok.com/@frank.mueller.nrw,SPD
https://www.tiktok.com/@just.moor,SPD
https://www.tiktok.com/@__steph.m__,SPD
https://www.tiktok.com/@martinaholzner3,SPD
https://www.tiktok.com/@sevim.kayakaradag,SPD
https://www.tiktok.com/@flora_elisa_,SPD
https://www.tiktok.com/@alexandra.k.b,SPD
https://www.tiktok.com/@tobias.hans,CDU/CSU
https://www.tiktok.com/@marcspeicher ,CDU/CSU
https://www.tiktok.com/@rolandtheis,CDU/CSU
https://www.tiktok.com/@horstfalk,CDU/CSU
https://www.tiktok.com/@ulfthiele,CDU/CSU
https://www.tiktok.com/@sandrokappe,CDU/CSU
https://www.tiktok.com/@christiangoiny,CDU/CSU
https://www.tiktok.com/@geert.mackenroth,CDU/CSU
https://www.tiktok.com/@elbhoffe,CDU/CSU
https://www.tiktok.com/@ingo.flemming,CDU/CSU
https://www.tiktok.com/@mauricebmueller,Grüne
https://www.tiktok.com/@tb4hd,Grüne
https://www.tiktok.com/@gregorkaiser,Grüne
https://www.tiktok.com/@sina_beckmann,Grüne
https://www.tiktok.com/@vasifranco,Grüne
https://www.tiktok.com/@louisvonkrueger/,Grüne
https://www.tiktok.com/@s_k_walter,Grüne
https://www.tiktok.com/@kathrinanders5,Grüne
https://www.tiktok.com/@vangroma,Grüne
https://www.tiktok.com/@miriamdahlke,Grüne
https://www.tiktok.com/@miblock_green,Grüne
https://www.tiktok.com/@lenazagst,Grüne
https://www.tiktok.com/@jenny_jasberg,Grüne
https://www.tiktok.com/@gudrun_schittek,Grüne
https://www.tiktok.com/@mjoukov,Grüne
https://www.tiktok.com/@sonjalattwesen,Grüne
https://www.tiktok.com/@gruenelisa,Grüne
https://www.tiktok.com/@wolfram.gnther,Grüne
https://www.tiktok.com/@harald_terpe,Grüne
https://www.tiktok.com/@dreas_hoffmann,Grüne
https://www.tiktok.com/@katrinschmidberger,Grüne
https://www.tiktok.com/@gollaleh_ahmadi,Grüne
https://www.tiktok.com/@fabian_ehmann1,Grüne
https://www.tiktok.com/@volkerbauer29,CDU/CSU
https://www.tiktok.com/@gertinger,CDU/CSU
https://www.tiktok.com/@joejoenue,CDU/CSU
https://www.tiktok.com/@saschaschnrer,CDU/CSU
https://www.tiktok.com/@kaufmann_andreas,CDU/CSU
https://www.tiktok.com/@martina_giessuebel_mdl,CDU/CSU
https://www.tiktok.com/@homerpetra,CDU/CSU
https://www.tiktok.com/@andrea.behr,CDU/CSU
https://www.tiktok.com/@alexander.brockmeier,FDP
https://www.tiktok.com/@matthiasbuger268,FDP
https://www.tiktok.com/@rittelanton,Sonstige
https://www.tiktok.com/@denizcelikhh,Linke
https://www.tiktok.com/@christianeboehm,Linke
https://www.tiktok.com/@torstenfelstehausen5,Linke
https://www.tiktok.com/@agerni01,Linke
https://www.tiktok.com/@elisabeth_kulamdl,Linke
https://www.tiktok.com/@maurerkatja,Linke
https://www.tiktok.com/@nielsolaflders,BSW
https://www.tiktok.com/@dieterlaudenbach8,AfD
https://www.tiktok.com/@peerlilienthal,AfD
https://www.tiktok.com/@ansgarschledde,AfD
https://www.tiktok.com/@gerhardschenk28,AfD
https://www.tiktok.com/@pascalschleich915,AfD
https://www.tiktok.com/@richardgraupner,AfD
https://www.tiktok.com/@ramona_storm,AfD
https://www.tiktok.com/@volkerdringenberg,AfD
https://www.tiktok.com/@steffenkubitzki,AfD
https://www.tiktok.com/@vivienrottstedt,AfD
https://www.tiktok.com/@peterbachmann,AfD
https://www.tiktok.com/@tobias_heller_mdl,AfD
https://www.tiktok.com/@holgerhentschel0,AfD
https://www.tiktok.com/@thomasthummmdl,AfD
https://www.tiktok.com/@fabianjankafd,AfD
https://www.tiktok.com/@volkslobbyist,AfD
https://www.tiktok.com/@jantimke,Sonstige
https://www.tiktok.com/@lillyblaudszun,SPD
https://www.tiktok.com/@anni_urban,SPD
https://www.tiktok.com/@torge_urban,SPD
https://www.tiktok.com/@olegshevchenko39,SPD
https://www.tiktok.com/@skandalstadtrat ,SPD
https://www.tiktok.com/@annatanzer ,SPD
https://www.tiktok.com/@timkurzbach ,SPD
https://www.tiktok.com/@tobiasschloo,SPD
https://www.tiktok.com/@marionmeyer_spd,SPD
https://www.tiktok.com/@danielkrusic,SPD
https://www.tiktok.com/@mcrich.n.hard ,SPD
https://www.tiktok.com/@nicole_spd_hattingen,SPD
https://www.tiktok.com/@leonhahn.bodensee,SPD
https://www.tiktok.com/@mrs_mayor,SPD
https://www.tiktok.com/@politiker_michael,SPD
https://www.tiktok.com/@hannahlupperspd,SPD
https://www.tiktok.com/@alicia.bokler,SPD
https://www.tiktok.com/@julia.soehne,SPD
https://www.tiktok.com/@vinc_in_la,SPD
https://www.tiktok.com/@nasser.spd ,SPD
https://www.tiktok.com/@mirjamblumenthal,SPD
https://www.tiktok.com/@belabach_mdb,SPD
https://www.tiktok.com/@sabrinaproschmann,SPD
https://www.tiktok.com/@wurzeln_u_fluegel,SPD
https://www.tiktok.com/@steffenkrach,SPD
https://www.tiktok.com/@aumann,SPD
https://www.tiktok.com/@smachulik,SPD
https://www.tiktok.com/@klausadelt,SPD
https://www.tiktok.com/@regitzmdlbarbara,SPD
https://www.tiktok.com/@sebastianthul,SPD
https://www.tiktok.com/@annarmpeters,Grüne
https://www.tiktok.com/@patrick.haermeyer,Grüne
https://www.tiktok.com/@gruenhinterdenohren,Grüne
https://www.tiktok.com/@alexwer_hb,Grüne
https://www.tiktok.com/@dzienus,Grüne
https://www.tiktok.com/@ddreudnitz,Grüne
https://www.tiktok.com/@GYGeorg ,Grüne
https://www.tiktok.com/@lukasschauder,Grüne
https://www.tiktok.com/@christina_haubrich,Grüne
https://www.tiktok.com/@polit.pilot,Grüne
https://www.tiktok.com/@doreen.denstdt,Grüne
https://www.tiktok.com/@emily.bning,Grüne
https://www.tiktok.com/@gruene_radolfshausen,Grüne
https://www.tiktok.com/@anna_deparnay,Grüne
https://www.tiktok.com/@nnienass,Grüne
https://www.tiktok.com/@katharina.fegebank,Grüne
https://www.tiktok.com/@anjes.tjarks,Grüne
https://www.tiktok.com/@pesejdi,Grüne
https://www.tiktok.com/@luciehammecke,Grüne
https://www.tiktok.com/@lau.ra_wahl,Grüne
https://www.tiktok.com/@madeleine_henfling,Grüne
https://www.tiktok.com/@jonas_bayer,FDP
https://www.tiktok.com/@krstdt,FDP
https://www.tiktok.com/@jimmyblum151,FDP
https://www.tiktok.com/@menschfranz,FDP
https://www.tiktok.com/@gelbphoenix,FDP
https://www.tiktok.com/@noreenthiel,FDP
https://www.tiktok.com/@leon.beck.bo,FDP
https://www.tiktok.com/@flobieder,FDP
https://www.tiktok.com/@tobias_heisig,FDP
https://www.tiktok.com/@theresa.leinkauf,FDP
https://www.tiktok.com/@thomas_sattelberger ,FDP
https://www.tiktok.com/@stefan_birkner,FDP
https://www.tiktok.com/@der_abgeordnete,FDP
https://www.tiktok.com/@martin.hagen,FDP
https://www.tiktok.com/@wolfgang.heubisch,FDP
https://www.tiktok.com/@dominik.spitzer/,FDP
https://www.tiktok.com/@christophskutella,FDP
https://www.tiktok.com/@thomaslkemmerich,FDP
https://www.tiktok.com/@robertmartinmontag,FDP
https://www.tiktok.com/@julia.u.schramm,Linke
https://www.tiktok.com/@eva_kappl,Linke
https://www.tiktok.com/@felixsschulz,Linke
https://www.tiktok.com/@elseppo95,Linke
https://www.tiktok.com/@korn.mb,Linke
https://www.tiktok.com/@lgbeutin,Linke
https://www.tiktok.com/@___markuspohle,Linke
https://www.tiktok.com/@grotjohannlsa,Linke
https://www.tiktok.com/@melaniewerysims,Linke
https://www.tiktok.com/@nelken2021,Linke
https://www.tiktok.com/@andreasadrian_,Linke
https://www.tiktok.com/@steffikoepenick,Linke
https://www.tiktok.com/@katjakipping,Linke
https://www.tiktok.com/@pascal_meiser,Linke
https://www.tiktok.com/@benjaminimmanuelhoff,Linke
https://www.tiktok.com/@kati_engel_,Linke
https://www.tiktok.com/@bohmeniaa,Linke
https://www.tiktok.com/@dielinke.mittelsachsen,Linke
https://www.tiktok.com/@sebastianwalter_mdl,Linke
https://www.tiktok.com/@linkerandreas,Linke
https://www.tiktok.com/@kathrindannenberg,Linke
https://www.tiktok.com/@isabellevandre,Linke
https://www.tiktok.com/@simon_mai ,CDU/CSU
https://www.tiktok.com/@buergermeister_kasche,CDU/CSU
https://www.tiktok.com/@toniecke,CDU/CSU
https://www.tiktok.com/@caro_luenenschloss,CDU/CSU
https://www.tiktok.com/@lillifischer_,CDU/CSU
https://www.tiktok.com/@maikbundestag ,CDU/CSU
https://www.tiktok.com/@alexanderkrausscdu,CDU/CSU
https://www.tiktok.com/@lucasschopphoven,CDU/CSU
https://www.tiktok.com/@einfach.caro_,CDU/CSU
https://www.tiktok.com/@patrick.burghardt,CDU/CSU
https://www.tiktok.com/@andreneumannabg,CDU/CSU
https://www.tiktok.com/@der_landrat,CDU/CSU
https://www.tiktok.com/@karolinbraunsberger,CDU/CSU
https://www.tiktok.com/@ericerzgebirge,CDU/CSU
https://www.tiktok.com/@sebastian_fischer_,CDU/CSU
https://www.tiktok.com/@tiktok_buergermeister,CDU/CSU
https://www.tiktok.com/@derschultesw,CDU/CSU
 https://www.tiktok.com/@annesophiegoebel,CDU/CSU
https://www.tiktok.com/@michaelfuchs01,CDU/CSU
https://www.tiktok.com/@beatemerk,CDU/CSU
https://www.tiktok.com/@hansfriedlmdl,Sonstige
https://www.tiktok.com/@bundestanzabgeordnete_lu,Sonstige
https://www.tiktok.com/@hallofraukaiser,AfD
https://www.tiktok.com/@janeschulz.deu,AfD
https://www.tiktok.com/@dr.robbyschlund,AfD
https://www.tiktok.com/@jensahrends711,AfD
https://www.tiktok.com/@erichheidkamp,AfD
https://www.tiktok.com/@guidoreil,AfD
https://www.tiktok.com/@nicolaus.fest,AfD
https://www.tiktok.com/@realgunnarbeck,AfD
https://www.tiktok.com/@drsylvialimmer,AfD
https://www.tiktok.com/@bernhardzimniok,AfD
https://www.tiktok.com/@thomasrudy3,AfD
https://www.tiktok.com/@rolfweigand,AfD
https://www.tiktok.com/@rene_hein,AfD
https://www.tiktok.com/@larsschieske,AfD
https://www.tiktok.com/@philip.zeschmann.mdl,AfD
https://www.tiktok.com/@andreas.kalbitz,Sonstige
https://www.tiktok.com/@larspatrickberg_mdep,Sonstige
https://www.tiktok.com/@jungeuniongermering,CDU/CSU
https://www.tiktok.com/@jungeunionaltoetting,CDU/CSU
https://www.tiktok.com/@jungeuniondetmold ,CDU/CSU
https://www.tiktok.com/@ju.hildesheim,CDU/CSU
https://www.tiktok.com/@rcds_buvo,CDU/CSU
https://www.tiktok.com/@jusosbayern,SPD
https://www.tiktok.com/@jusos_offiziell ,SPD
https://www.tiktok.com/@jusosinderspd,SPD
https://www.tiktok.com/@jusoskaland,SPD
https://www.tiktok.com/@jusos.esslingenkreis,SPD
https://www.tiktok.com/@jusosostfildern,SPD
https://www.tiktok.com/@jusos.jena,SPD
https://www.tiktok.com/@gj_thueringen,Grüne
https://www.tiktok.com/@jung.oekologisch,Sonstige
https://www.tiktok.com/@insidecdu,CDU/CSU
https://www.tiktok.com/@cdu_bw,CDU/CSU
https://www.tiktok.com/@cdubrandenburg,CDU/CSU
https://www.tiktok.com/@cdu_hessen,CDU/CSU
https://www.tiktok.com/@cdu.mv,CDU/CSU
https://www.tiktok.com/@cdurlp,CDU/CSU
https://www.tiktok.com/@cdu.sachsen,CDU/CSU
https://www.tiktok.com/@cdu_thueringen,CDU/CSU
https://www.tiktok.com/@junge_union,CDU/CSU
https://www.tiktok.com/@jungeunionbw,CDU/CSU
https://www.tiktok.com/@ju_bayern,CDU/CSU
https://www.tiktok.com/@juhessen,CDU/CSU
https://www.tiktok.com/@juniedersachsen,CDU/CSU
https://www.tiktok.com/@jungeunionnrw,CDU/CSU
https://www.tiktok.com/@junge_union_saar,CDU/CSU
https://www.tiktok.com/@ju.sachsen,CDU/CSU
https://www.tiktok.com/@deinespd,SPD
https://www.tiktok.com/@spd_bw,SPD
https://www.tiktok.com/@spdberlin,SPD
https://www.tiktok.com/@spd.mv,SPD
https://www.tiktok.com/@spdniedersachsen,SPD
https://www.tiktok.com/@nrwspd,SPD
https://www.tiktok.com/@spd.rheinlandpfalz,SPD
https://www.tiktok.com/@saarspd,SPD
https://www.tiktok.com/@spd.schleswigholstein,SPD
https://www.tiktok.com/@jusos.de,SPD
https://www.tiktok.com/@jusosbw,SPD
https://www.tiktok.com/@jusos.bayern,SPD
https://www.tiktok.com/@jusos.berlin,SPD
https://www.tiktok.com/@jusosbremen,SPD
https://www.tiktok.com/@jusoshamburg,SPD
https://www.tiktok.com/@jusoshessen,SPD
https://www.tiktok.com/@jusos.mv,SPD
https://www.tiktok.com/@jusos_nds,SPD
https://www.tiktok.com/@nrwjusos,SPD
https://www.tiktok.com/@jusos.rlp,SPD
https://www.tiktok.com/@jusos.saar,SPD
https://www.tiktok.com/@jusos_th,SPD
https://www.tiktok.com/@fdp,FDP
https://www.tiktok.com/@fdpnrw,FDP
https://www.tiktok.com/@fdp.sachsen,FDP
https://www.tiktok.com/@fdp_sachsenanhalt,FDP
https://www.tiktok.com/@fdp_schleswigholstein,FDP
https://www.tiktok.com/@fdpthueringen,FDP
https://www.tiktok.com/@junge.liberale,FDP
https://www.tiktok.com/@julis_bw,FDP
https://www.tiktok.com/@julisbayern,FDP
https://www.tiktok.com/@julisberlin,FDP
https://www.tiktok.com/@julisbrandenburg,FDP
https://www.tiktok.com/@jungeliberalehh,FDP
https://www.tiktok.com/@julis.hessen,FDP
https://www.tiktok.com/@julisnrw,FDP
https://www.tiktok.com/@jungeliberalesaar,FDP
https://www.tiktok.com/@julis_sachsenanhalt,FDP
https://www.tiktok.com/@julis_sh,FDP
https://www.tiktok.com/@die.linke,Linke
https://www.tiktok.com/@dielinkebw,Linke
https://www.tiktok.com/@die_linke_bayern,Linke
https://www.tiktok.com/@dielinkeberlin,Linke
https://www.tiktok.com/@die_linke_brandenburg,Linke
https://www.tiktok.com/@dielinke_bremen,Linke
https://www.tiktok.com/@die_linke_hessen,Linke
https://www.tiktok.com/@die.linke.hamburg,Linke
https://www.tiktok.com/@dielinkenrw,Linke
https://www.tiktok.com/@die.linke.rlp,Linke
